题目,朝代,作者,内容
秋怀,近现代末当代初,徐震堮,艰如危栈陟骡纲，疾似浮云蓦雁觜。当时遥望三神山，到手不值一杯水。十年残梦泊团焦，柳巷西风耐寂寥。败绿疏黄俱可意，桐阴研墨写《离骚》。
题蔡韶声《荻秋访旧图》,近现代末当代初,徐震堮,西风亠水吹秋黄，云邪树邪俱混茫。中流点鹭冲寒光，伊何人者浮短舟双？既非桃花漫引武陵榜，或恐夜雪忽发剡溪狂。郑国鸡鸣风雨晦，秦人露白蒹葭苍。岸边星散渔人庄，鸭脚蔽屋遥可望。中有书声出琅琅，吾知此士非寻常。弟兄各占东西屋，宾客无分上下床。酒伴同邀秋浦月，诗题远寄华子岗。昔闻荻秋先生此曾住，至今俗世犹敦庞。点瑟之轩雪鸥阁，三百年来谁颉颃？许家昆季能继起，风流无忝文采邦。蔡侯静者真无双，一身苦为铅椠忙。故乡文献半零落，欲从灰死回光芒。前年访旧到北港，作图记事增慨慷。吾观此画非漫与，知君好古心难降。卷图还君意寂寞，明日相从寻漫郎。焉得卜筑清漳旁，张南周北刘中央。一笑梦落松影窗。
十二月二十三日对雪,近现代末当代初,徐震堮,暗云贴水疑无缝，秃树当风强作声。今日清寒才到骨，一帘飞雪画江城。
苦雨,近现代末当代初,徐震堮,门外知无寸土乾，梦中檐瀑作风湍。湿云忽逗斜阳影，一树拳鸦当叶看。
马耆寺,近现代末当代初,徐震堮,城东马耆寺，尽日掩禅扉。万绿声中去，斜阳不满衣。
和陶（录一）,近现代末当代初,徐震堮,画水不能声，画云不能飞。君看纸上字，岂识心中悲。墙头一叶落，独与飘风依。我坐庭砌间，怅然望其归。流光忽飞逝，须发行变衰。居世良不乐，始心何多违？
咏怀示梦招丁丑 上海,近现代末当代初,徐震堮,绮语常愁法秀呵，壮怀未奋鲁阳戈。皋桥赁庑生涯薄，汐社联吟感慨多。《述酒》有篇聊复尔，画兰无地欲如何。凭挥一掬神州泪，来和燕台击筑歌。
初发上海己卯 九月,近现代末当代初,徐震堮,易地仍为客，中原尚用兵。不辞牛马走，稍远蟪蛄声。日照鲸波阔，风催雁足轻。飘然千里去，浩荡白鸥情。
将抵江口,近现代末当代初,徐震堮,亭午赫炎曦，溪回路愈窄。小舟数十人，行李相填塞。崖仄树欹根，湍分沙露脊。篙师立水中，推挽不能尺。村店隔疏林，市桥逗行客。饥雷方殷肠，汗雨已淋额。或驰逐担夫，或下争箪筏。宿昔轮蹄间，焉知道路剧。
侵晓坐人力车赴溪口,近现代末当代初,徐震堮,车灯摇倦影，残月犹挂树。孤客梦亦惊，侵晓抱行具。虫吟草露秋，鸟度林风曙。远岫列髻鬟，朝光与之遇。纷然瑶圃开，苍翠接霞屦。日出山市喧，溪回村渡屡。茶亭暂小留，疏粝亦可饫。缅矣桃源情，尘劳迹何遽。
自丽水赴龙泉道中（四首录二） 其一,近现代末当代初,徐震堮,两山夹我上青天，我怪山行缓不前。一笑已凌万山顶，那知山在白云边。
自丽水赴龙泉道中（四首录二） 其二,近现代末当代初,徐震堮,一句吟成路百回，浓青老赤画屏开。忽然行尽松涛涧，又到前山对面来。
闻长沙大捷用双井韵,近现代末当代初,徐震堮,虾夷突骑遍南朔，四海三年伫捷书。欢声肸蚃腾九有，郾城一战摧乌珠。园陵白露阙扫除，侧身北海犹惄如。安得岳阳不日下，楼船飞渡洞庭湖。
烈士词 其一,近现代末当代初,徐震堮,少年挟弹走燕台，烈士头衔唾手来。一笑赫衣辞诏狱，可怜绛灌尽粗才。
烈士词 其二,近现代末当代初,徐震堮,惯似蛾眉不让人，几回覆雨又翻云。桥陵弓剑归天上，从此谯周是老臣。
烈士词 其三,近现代末当代初,徐震堮,曲里琴心不自持，琵琶湖上说相思。当筵宛转《回波》唱，老去犹堪舞柘枝。
敌陷萧山，诸、绍告警,近现代末当代初,徐震堮,落日西兴战血斑，漫天风火接严滩。江头白雁潮无信，坐上《黄獐》曲未阑。一旅犹能存夏祀，五千谁与保稽山？越中子弟多豪俊，跃马何当拔帜还？
春雨连朝，山楼独坐 其一 庚辰,近现代末当代初,徐震堮,积雨空林烟火迟，小窗静赏《辋川》诗。山楼日日翻书坐，屋角垂杨绿几丝。
春雨连朝，山楼独坐 其二 庚辰,近现代末当代初,徐震堮,绕墙田水响潺潺，深树人家昼掩关。莫道半春无事过，雨窗日对米家山。
泊十六铺,近现代末当代初,徐震堮,车轮生脚脚生根，解缆三朝尚在门。夷馆灯光仍照镜，高楼海色已消魂。鸥波浩荡鱼千里，虎口颠连虱一裈。去昼迟迟应怪我，可怜怀抱向谁论？
十月廿四日纪事二首 其一,近现代末当代初,徐震堮,十月二十四，岁在庚辰秋。晨泊闽海外，倦程始一休。怪石列虎豹，荒波绝凫鸥。去岸尚州里，极望徒凝眸。亭午关吏至，侣以戎服俦。姓名苦盘诘，行李恣爬搜。日昃风波恶，欲去皆不由。独许小艇送，亦见遇我优。大副苦相阻，恶浪大如牛。何为冒此险？曷不须臾留？我侪勇贪程，久蛰同傫囚。闻言曾不顾，箱箧已盈舟。馀地才容膝，拱坐如猿猴。同行十余辈，默对无献酬。况复船骨朽，岁久忘漆髹。上漏雨簌簌，傍罅风飕飕。解缆不数里，訇然浪打头。柁工失主使，一覆几难收。欲退不可得，欲前道路修。鼓勇卒盲进，性命轻阳侯。移时天昏黑，风急雨更稠。海若故相嬲，舞船如舞毬。或缓如陨羽，或急如转旒。或作失手坠，万丈深渊投。俄然奋一掷，跳空若云浮。四壁共啾唧，欲唤鲠在喉。机声出后舱，轧轧增煎忧。老郭痛而呻，惊呼出暗陬。林子低眉坐，默祷天垂庥。我坐执其手，谅不遗我不。鬼伯去我咫，微闻鼻息咻。了知必不活，焉能无冀求。男儿死有地，岂屑壑与沟。嗟我历百险，亦为升斗谋。此时灯影下，道远思悠悠。妻子夜不寐，转侧风雨愁。安知千里外，乃逐波臣游！忽然心断绝，步步临九幽。偶尔浪稍定，又觉生意抽。生死俄万变，眩转盘中骰。舟子亦旁皇，疾进无他筹。时时探首望，沉绵冀自瘳。良久风势挫，不与先时侔。忽闻岸上语，失喜相挽搂。二鼓到海口，四无灯火楼。觳觫立檐下，相顾如病鹙。投止得贤主，进我粥一瓯。人情穷易好，气血皆和柔。夜深上小阁，单枕无衾裯。梦中屡起坐，塞耳风涛齁。
十月廿四日纪事二首 其二,近现代末当代初,徐震堮,咫尺惊涛窟，初回已逝魂。乍看灯火影，真觉肺肝温。雨气寒侵障，潮声夜到门。梦中犹作恶，惭愧主人恩。
校门前新置警报钟,近现代末当代初,徐震堮,四海苍生战血鲜，荒村鸡犬亦骚然。青山浑似僧闲坐，定里霜钟六百年。
闻松涛,近现代末当代初,徐震堮,卮酒何能荡百哀，荒居云物苦崔嵬。斜阳影里科头坐，合眼萧萧万马来。
朦胧中作山居诗,近现代末当代初,徐震堮,层绿何峨峨，山光凑短扉。开卷得昔梦，心与太古齐。不念夜鹤怨，不忧朝麇饥。哦诗松下窗，白云如可梯。
村居杂诗（录二） 其一,近现代末当代初,徐震堮,桕叶红于染，漫山斗晚霞。笑渠桃与李，但作女郎花。
村居杂诗（录二） 其二,近现代末当代初,徐震堮,春风百样花，秋光才一树。斜照如有情，徘徊不能去。
十二月二十九日始得家书，别家已二月矣,近现代末当代初,徐震堮,当年出门游，累月无一书。无书亦不忆，心知两何如。今我隔山海，慰情唯一纸。斜封字数行，到手千金比。开缄何所有？闵我行路难。又说家中事，旁皇起长叹。小儿不见爹，念爹常在口。牵娘出门望，待爹来吃酒。岂独儿忆爹，我亦念而翁。衰年走风雪，所为救困穷。世乱迫饥驱，不得依骨肉。有家难坐守，有书难坐读。
