"题目","朝代","作者","内容"
"落叶","隋末唐初","孔绍安","早秋惊落叶，飘零似客心。翻飞未肯下，犹言惜故林。"
"伤顾学士","隋末唐初","孔绍安","迢遰双崤道，超忽三川湄。此中俱失路，思君不可思。游人行变橘，逝者遽焚芝。忆昔江湖上，同咏子衿诗。何言陵谷徙，翻惊邻笛悲。陈根非席卉，穗帐异书帷。与善成空说，歼良信在兹。今日严夫子，哀命不哀时。"
"别徐永元秀才","隋末唐初","孔绍安","金汤既失险，玉石乃同焚。坠叶还相覆，落羽更为群。岂谓三秋节，重伤千里分。远离弦易转，幽咽水难闻。欲识相思处，山川间白云。"
"结客少年场行","隋末唐初","孔绍安","结客佩吴钩，横行度陇头。雁在弓前落，云从阵后浮。吴师惊燧象，燕将警奔牛。转蓬飞不息，冰河结未流。若使三边定，当封万户侯。"
"赠蔡君","隋末唐初","孔绍安","畴昔同幽谷，伊尔迁乔木。赫奕盛青紫，讨论穷简牍。"
"送蔡君知入蜀二首 其一","隋末唐初","孔德绍","金陵已去国，铜梁忽背飞。失路远相送，他乡何日归。"
"送蔡君知入蜀二首 其二","隋末唐初","孔德绍","灵关九折险，蜀道二星遥。乘槎若有便，希泛广陵潮。"
"赋得华亭鹤","隋末唐初","孔德绍","华亭失侣鹤，乘轩宠遂终。三山凌苦雾，千里激悲风。心危白露下，声断綵弦中。何言斯物变，翻覆似辽东。"
"赋得涉江采芙蓉","隋末唐初","孔德绍","莲舟泛锦碛，极目眺江干。沿流渡楫易，逆浪取花难。有雾疑川广，无风见水宽。朝来采摘倦，讵得久盘桓。"
"王泽岭遭洪水","隋末唐初","孔德绍","地籁风声急，天津云色愁。悠然万顷满，俄尔百川浮。还似金堤溢，翻如碧海流。惊涛遥起鹭，回岸不分牛。徒知怀赵景，终是倦阳侯。木梗诚无托，芦灰岂暇求。思得乘槎便，萧然河汉游。"
"行经太华","隋末唐初","孔德绍","纷吾世网暇，灵岳展幽寻。寥廓风尘远，杳冥川谷深。山昏五里雾，日落二华阴。疏峰起莲叶，危塞隐桃林。何必东都外，此处可抽簪。"
"观太常奏新乐","隋末唐初","孔德绍","大君膺宝历，出豫表功成。钧天金石响，洞庭弦管清。八音动繁会，九变叶希声。和云留睿赏，熏风悦圣情。盛烈光韶濩，易俗迈咸英。窃吹良无取，率舞抃群生。"
"南隐游泉山","隋末唐初","孔德绍","名山狎招隐，俗外远相求。还如倒景望，忽似阆风游。临崖俯大壑，披雾仰飞流。岁积松方偃，年深椿欲秋。野花开石镜，云叶掩山楼。何须问方士，此处即瀛洲。"
"送舍利宿定普岩","隋末唐初","孔德绍","仁祠表虚旷，祗园展肃恭。栖息翠微岭，登顿白云峰。映流看夜月，临峰听晓钟。涧芳十步草，崖阴百丈松。萧然遥路绝，无复市朝踪。"
"夜宿荒村","隋末唐初","孔德绍","绵绵夕漏深，客恨转伤心。抚弦无人听，对酒时独斟。故乡万里绝，穷愁百虑侵。秋草思边马，绕枝惊夜禽。风度谷馀响，月斜山半阴。劳歌欲叙意，终是白头吟。"
"登白马山护明寺","隋末唐初","孔德绍","名岳标形胜，危峰远郁纡。成象建环极，大壮阐规模。层台耸灵鹫，高殿迩阳乌。暂同游阆苑，还类入仙都。三休开碧岭，万户洞金铺。摄心罄前礼，访道挹中虚。遥瞻尽地轴，长望极天隅。白云起梁栋，丹霞映栱栌。露花疑濯锦，泉月似沈珠。今日桃源客，相顾失归涂。"
"句","隋末唐初","孔德绍","谁分菱花影，还看蓬鬓秋。"
"春游曲","隋末唐初","文德皇后","上苑桃花朝日明，兰闺艳妾动春情。井上新桃偷面色，檐边嫩柳学身轻。花中来去看舞蝶，树上长短听啼莺。林下何须远借问，出众风流旧有名。"
"咏汉高祖","隋末唐初","王圭","汉祖起丰沛，乘运以跃鳞。手奋三尺剑，西灭无道秦。十月五星聚，七年四海宾。高抗威宇宙，贵有天下人。忆昔与项王，契阔时未伸。鸿门既薄蚀，荥阳亦蒙尘。虮虱生介胄，将卒多苦辛。爪牙驱信越，腹心谋张陈。赫赫西楚国，化为丘与榛。"
"咏淮阴侯","隋末唐初","王圭","秦王日凶慝，豪杰争共亡。信亦胡为者，剑歌从项梁。项羽不能用，脱身归汉王。道契君臣合，时来名位彰。北讨燕承命，东驱楚绝粮。斩龙堰濉水，擒豹熸夏阳。功成享天禄，建旗还南昌。千金答漂母，百钱酬下乡。吉凶成纠缠，倚伏难预详。弓藏狡兔尽，慷慨念心伤。"
"山中别李处士","隋末唐初","王绩","为向东溪道，人来路渐赊。山中春酒熟，何处得停家。"
"山夜调琴","隋末唐初","王绩","促轸乘明月，抽弦对白云。从来山水韵，不使俗人闻。"
"戏题卜铺壁","隋末唐初","王绩","旦逐刘伶去，宵随毕卓眠。不应长卖卜，须得杖头钱。"
"过酒家五首 其一","隋末唐初","王绩","洛阳无大宅，长安乏主人。黄金销未尽，祗为酒家贫。"
"过酒家五首 其二","隋末唐初","王绩","此日长昏饮，非关养性灵。眼看人尽醉，何忍独为醒。"
"过酒家五首 其三","隋末唐初","王绩","竹叶连糟翠，蒲萄带曲红。相逢不令尽，别后为谁空。"
"过酒家五首 其四","隋末唐初","王绩","对酒但知饮，逢人莫强牵。倚炉便得睡，横瓮足堪眠。"
"过酒家五首 其五","隋末唐初","王绩","有客须教饮，无钱可别沽。来时长道贳，惭愧酒家胡。"
"初春","隋末唐初","王绩","春来日渐长，醉客喜年光。稍觉池亭好，偏宜酒瓮香。"
"咏怀","隋末唐初","王绩","故乡行云是，虚室坐间同。日落西山暮，方知天下空。"
"夜还东溪","隋末唐初","王绩","石苔应可践，丛枝幸易攀。青溪归路直，乘月夜歌还。"
"建德破后入长安咏秋蓬示辛学士","隋末唐初","王绩","遇坎聊知止，逢风或未归。孤根何处断？轻叶强能飞。"
"尝春酒","隋末唐初","王绩","野觞浮郑酌，山酒漉陶巾。但令千日醉，何惜两三春。"
"独酌","隋末唐初","王绩","浮生知几日，无状逐空名。不如多酿酒，时向竹林倾。"
"看酿酒","隋末唐初","王绩","六月调神曲，正朝汲美泉。从来作春酒，未省不经年。"
"秋夜喜遇王处士","隋末唐初","王绩","北场芸藿罢，东皋刈黍归。相逢秋月满，更值夜萤飞。"
"醉后","隋末唐初","王绩","阮籍醒时少，陶潜醉日多。百年何足度，乘兴且长歌。"
"题酒店壁","隋末唐初","王绩","昨夜瓶始尽，今朝瓮即开。梦中占梦罢，还向酒家来。"
"九月九日赠崔使君善为","隋末唐初","王绩","野人迷节候，端坐隔尘埃。忽见黄花吐，方知素节回。映岩千段发，临浦万株开。香气徒盈把，无人送酒来。"
"田家三首 其一","隋末唐初","王绩","家住箕山下，门枕颍川滨。不知今有汉，唯言昔避秦。琴伴前庭月，酒劝后园春。自得中林士，何忝上皇人。"
"咏妓","隋末唐初","王绩","妖姬饰靓妆，窈窕出兰房。日照当轩影，风吹满路香。早时歌扇薄，今日舞衫长。不应令曲误，持此试周郎。"
"独坐","隋末唐初","王绩","问君樽酒外，独坐更何须。有客谈名理，无人索地租。三男婚令族，五女嫁贤夫。百年随分了，未羡陟方壶。"
"野望","隋末唐初","王绩","东皋薄暮望，徙倚欲何依。树树皆秋色，山山唯落晖。牧人驱犊返，猎马带禽归。相顾无相识，长歌怀采薇。"
"赠程处士","隋末唐初","王绩","百年长扰扰，万事悉悠悠。日光随意落，河水任情流。礼乐囚姬旦，诗书缚孔丘。不如高枕枕，时取醉消愁。"
"田家三首 其二","隋末唐初","王绩","阮籍生涯懒，嵇康意气疏。相逢一醉饱，独坐数行书。小池聊养鹤，闲田且牧猪。草生元亮径，花暗子云居。倚床看妇织，登垄课儿锄。回头寻仙事，并是一空虚。"
"田家三首 其三","隋末唐初","王绩","平生唯酒乐，作性不能无。朝朝访乡里，夜夜遣人酤。家贫留客久，不暇道精粗。抽帘持益炬，拔箦更燃炉。恒闻饮不足，何见有残壶。"
"在京思故园见乡人问","隋末唐初","王绩","旅泊多年岁，老去不知回。忽逢门前客，道发故乡来。敛眉俱握手，破涕共衔杯。殷勤访朋旧，屈曲问童孩。衰宗多弟侄，若个赏池台。旧园今在否，新树也应栽。柳行疏密布，茅斋宽窄裁。经移何处竹？别种几株梅。渠当无绝水，石计总生苔。院果谁先熟，林花那后开。羁心祗欲问，为报不须猜。行当驱下泽，去剪故园莱。"
"过汉故城","隋末唐初","王绩","大汉昔未定，强秦犹擅场。中原逐鹿罢，高祖郁龙骧。经始谋帝坐，兹焉壮未央。规模穷栋宇，表里浚城隍。群后崇长乐，中朝增建章。钩陈被兰锜，乐府奏芝房。翡翠明珠帐，鸳鸯白玉堂。清晨宝鼎食，闲夜郁金香。天马来东道，佳人倾北方。何其赫隆盛，自谓保灵长。历数有时尽，哀平嗟不昌。冰坚成巨猾，火德遂颓纲。奥位匪虚校，贪天竟速亡。魂神吁社稷，豺虎斗岩廊。金狄移灞岸，铜盘向洛阳。君王无处所，年代几荒凉。宫阙谁家域，蓁芜罥我裳。井田唯有草，海水变为桑。在昔高门内，于今岐路傍。馀基不可识，古墓列成行。狐兔惊魍魉，鸱鸮嚇獝狂。空城寒日晚，平野暮云黄。烈烈焚青棘，萧萧吹白杨。千秋并万岁，空使咏歌伤。"
"食后","隋末唐初","王绩","田家无所有，晚食遂为常。菜剪三秋绿，飧炊百日黄。胡麻山麨样，楚豆野麋方。始暴松皮脯，新添杜若浆。葛花消酒毒，萸蒂发羹香。鼓腹聊乘兴，宁知逢世昌。"
"晚年叙志示翟处士","隋末唐初","王绩","弱龄慕奇调，无事不兼修。望气登重阁，占星上小楼。明经思待诏，学剑觅封侯。弃繻频北上，怀刺几西游。中年逢丧乱，非复昔追求。失路青门隐，藏名白社游。风云私所爱，屠博暗为俦。解纷曾霸越，释难颇存周。晚岁聊长想，生涯太若浮。归来南亩上，更坐北溪头。古岸多磐石，春泉足细流。东隅诚已谢，西景惧难收。无谓退耕近，伏念已经秋。庚桑逢处跪，陶潜见人羞。三晨宁举火，五月镇披裘。自有居常乐，谁知身世忧。"
"黄颊山","隋末唐初","王绩","别有青溪道，斜亘碧岩隈。崩榛横古蔓，荒石拥寒苔。野心长寂寞，山径本幽回。步步攀藤上，朝朝负药来。几看松叶秀，频值菊花开。无人堪作伴，岁晚独悠哉。"
"游仙四首 其一","隋末唐初","王绩","暂出东陂路，过访北岩前。蔡经新学道，王烈旧成仙。驾鹤来无日，乘龙去几年。三山银作地，八洞玉为天。金精飞欲尽，石髓溜应坚。自悲生世促，无暇待桑田。"
"游仙四首 其二","隋末唐初","王绩","上月芝兰径，中岩紫翠房。金壶新练乳，玉釜始煎香。六局黄公术，三门赤帝方。吹沙聊作鸟，动石试为羊。缑氏还程促，瀛洲会日长。谁知北岩下，延首咏霓裳。"
"游仙四首 其三","隋末唐初","王绩","结衣寻野路，负杖入山门。道士言无宅，仙人更有村。斜溪横桂渚，小径入桃源。玉床尘稍冷，金炉火尚温。心疑游北极，望似陟西昆。逆愁归旧里，萧条访子孙。"
"游仙四首 其四","隋末唐初","王绩","真经知那是，仙骨定何为。许迈心长切，嵇康命似奇。桑疏金阙迥，苔重石梁危。照水然犀角，游山费虎皮。鸭桃闻已种，龙竹未经骑。为向天仙道，栖遑君讵知。"
"策杖寻隐士","隋末唐初","王绩","策杖寻隐士，行行路渐赊。石梁横涧断，土室映山斜。孝然纵有舍，威辇遂无家。置酒烧枯叶，披书坐落花。新垂滋水钓，旧结茂陵罝。岁岁长如此，方知轻世华。"
"山中叙志","隋末唐初","王绩","物外知何事，山中无所有。风鸣静夜琴，月照芳春酒。直置百年内，谁论千载后。张奉娉贤妻，老莱籍嘉偶。孟光傥未嫁，梁鸿正须妇。"
"北山","隋末唐初","王绩","旧知山里绝氛埃，登高日暮心悠哉。子平一去何时返？仲叔长游遂不来。幽兰独夜清琴曲，桂树凌云浊酒杯。槁项同枯木，丹心等死灰。"
"古意六首 其一","隋末唐初","王绩","幽人在何所？紫岩有仙躅。月下横宝琴，此外将安欲。材抽峄山干，徽点昆丘玉。漆抱蛟龙唇，丝缠凤凰足。前弹广陵罢，后以明光续。百金买一声，千金传一曲。世无钟子期，谁知心所属。"
"古意六首 其二","隋末唐初","王绩","竹生大夏溪，苍苍富奇质。绿叶吟风劲，翠茎犯霄密。霜霰封其柯，鹓鸾食其实。宁知轩辕后，更有伶伦出。刀斧俄见寻，根株坐相失。裁为十二管，吹作雄雌律。有用虽自伤，无心复招疾。不如山上草，离离保终吉。"
"古意六首 其三","隋末唐初","王绩","宝龟尺二寸，由来宅深水。浮游五湖内，宛转三江里。何不深复深，轻然至溱洧。溱洧源流狭，春秋不濡轨。渔人递往还，网罟相萦藟。一朝失运会，刳肠血流死。丰骨输庙堂，鲜腴籍笾簋。弃置谁怨尤，自我招此否。馀灵寄明卜，复来钦所履。"
"古意六首 其四","隋末唐初","王绩","松生北岩下，由来人径绝。布叶捎云烟，插根拥岩穴。自言生得地，独负凌云洁。何时畏斤斧，几度经霜雪。风惊西北枝，雹陨东南节。不知岁月久，稍觉枝干折。藤萝上下碎，枝干纵横裂。行当糜烂尽，坐共灰尘灭。宁关匠石顾，岂为王孙折。盛衰自有时，圣贤未尝屑。寄言悠悠者，无为嗟大耋。"
"古意六首 其五","隋末唐初","王绩","桂树何苍苍，秋来花更芳。自言岁寒性，不知露与霜。幽人重其德，徙植临前堂。连拳八九树，偃蹇二三行。枝枝自相纠，叶叶还相当。去来双鸿鹄，栖息两鸳鸯。荣荫诚不厚，斤斧亦勿伤。赤心许君时，此意那可忘。"
"古意六首 其六","隋末唐初","王绩","彩凤欲将归，提罗出郊访。罗张大泽已，凤入重云飏。朝栖昆阆木，夕饮蓬壶涨。问凤那远飞，贤君坐相望。凤言荷深德，微禽安足尚。但使雏卵全，无令矰缴放。皇臣力牧举，帝乐箫韶畅。自有来巢时，明年阿阁上。"
"石竹咏","隋末唐初","王绩","萋萋结绿枝，晔晔垂朱英。常恐零露降，不得全其生。叹息聊自思，此生岂我情。昔我未生时，谁者令我萌。弃置勿重陈，委化何足惊。"
"阶前石行","隋末唐初","王绩","上天布甘雨，万物咸均平。自顾微且贱，亦得蒙滋荣。"
"采药","隋末唐初","王绩","野情贪药饵，郊居倦蓬荜。青龙护道符，白犬游仙术。腰镰戊己月，负锸庚辛日。时时断嶂遮，往往孤峰出。行披葛仙经，坐检神农帙。龟蛇采二苓，赤白寻双朮。地冻根难尽，丛枯苗易失。从容肉作名，薯蓣膏成质。家丰松叶酒，器贮参花蜜。且复归去来，刀圭辅衰疾。"
"春日","隋末唐初","王绩","前旦出园游，林华都未有。今朝下堂来，池冰开已久。雪被南轩梅，风催北庭柳。遥呼灶前妾，却报机中妇。年光恰恰来，满瓮营春酒。"
"春旦直疏","隋末唐初","王绩","春夜犹自长，高窗来月明。耿耿不能寐，振衣步前楹。怀抱暂无扰，自觉形神清。遐想太古事，俯察今世情。淳薄何不同，运数之所成。叹息万重隔，已闻晨鸡鸣。回看东南隅，□□□□□。谁知忘机者，寂泊存其精。"
"春桂问荅二首 其一","隋末唐初","王绩","问春桂：桃李正芬华，年光随处满，何事独无花。"
"春桂问荅二首 其二","隋末唐初","王绩","春桂荅：春华讵能久，风霜摇落时，独秀君知不。"
"薛记室收过庄见寻率题古意以赠","隋末唐初","王绩","伊昔逢丧乱，历数闰当馀。豺狼塞衢路，桑梓成丘墟。余及尔皆亡，东西各异居。尔为背风鸟，我为涸辙鱼。逮承云雷后，欣逢天地初。东川聊下钓，南亩试挥锄。资税幸不及，伏腊常有储。散诞时须酒，萧条懒向书。朽木不可雕，短翮将焉摅。故人有深契，过我蓬蒿庐。曳裾出门迎，握手登前除。相看非旧颜，忽若形骸疏。追道宿昔事，切切心相于。忆我少年时，携手游东渠。梅李夹两岸，花枝何扶疏。同志亦不多，西庄有姚徐。尝爱陶渊明，酌醴焚枯鱼。尝学公孙弘，策杖牧群猪。追念甫如昨，奄忽成空虚。人生讵能几，岁岁常不舒。赖有北山僧，教我以真如。使我视听遣，自觉尘累祛。何事须筌蹄，今已得兔鱼。旧游傥多暇，同此释纷拿。"
"赠李徵君大寿","隋末唐初","王绩","孔淳辞散骑，陆昶谢中郎。幅巾朝帝罢，杖策去官忙。附车还赵郡，乘船向武昌。九徵书未已，十辟誉弥彰。副君迎绮季，天子送严光。灞陵幽径近，磻溪隐路长。编蓬还作室，绩草更为裳。会稽置樵处，兰陵卖药行。看书惟道德，开教止农桑。别有幽怀侣，由来高让王。前年辞厚币，今岁返寒乡。有书横石架，无毡坐土床。兰英犹足酿，竹实本无粮。涧松寒转直，山菊秋自香。管宁存祭礼，王霸重朝章。去去相随去，披裘骄盛唐。"
"赠学仙者","隋末唐初","王绩","采药层城远，寻师海路赊。玉壶横日月，金阙断烟霞。仙人何处在？道士未还家。谁知彭泽意，更觅步兵那。春酿煎松叶，秋杯浸菊花。相逢宁可醉，定不学丹砂。"
"赠梁公","隋末唐初","王绩","我欲图世乐，斯乐难可常。位大招讥嫌，禄极生祸殃。圣莫若周公，忠岂踰霍光。成王已兴诮，宣帝如负芒。范蠡何智哉，单舟戒轻装。疏广岂不怀，策杖还故乡。朱门虽足悦，赤族亦可伤。履霜成坚冰，知足胜不祥。我今穷家子，自言此见长。功成皆能退，在昔谁灭亡。"
"句","隋末唐初","王绩","琴曲唯留古，书多半是经。横裁桑节杖，直剪竹皮巾。鹤警琴亭夜，莺啼酒瓮春。颜回唯乐道，原宪岂伤贫。寄身千载下，聊游万物初。欲令无作有，翻觉实成虚。双关防易断，只眼畏难全。鱼鳞张九拒，鹤翅拥三边。"
"与长孙无忌互嘲 其二","隋末唐初","欧阳询","索头连背暖，漫裆畏肚寒。只因心浑浑，所以面团团。"
"冬日宴于庶子宅各赋一字得趣","隋末唐初","令狐德棻","高门聊命赏，群英于此遇。放旷山水情，留连文酒趣。夕烟起林兰，霜枝殒庭树。落景虽已倾，归轩幸能驻。"
"留诗 其一","隋末唐初","叶法善","昔在禹馀天，还依太上家。忝以掌仙录，去来乘烟霞。暂下宛利城，渺然思金华。自此非久住，云上登香车。"
"留诗 其二","隋末唐初","叶法善","适向人间世，时复济苍生。度人初行满，辅国亦功成。但念清微乐，谁忻下界荣。门人好住此，翛然云上征。"
"留诗 其三","隋末唐初","叶法善","退仙时此地，去俗久为荣。今日登云天，归真游上清。泥丸空示世，腾举不为名。为报学仙者，知余朝玉京。"
"咏山","隋末唐初","刘斌","灵山峙千仞，蔽日且嵯峨。紫盖云阴远，香炉烟气多。石梁高鸟路，瀑水近天河。欲知闻道里，别自有仙歌。"
"送刘散员同赋陈思王诗得好鸟鸣高枝","隋末唐初","刘斌","春林已自好，时鸟复和鸣。枝交难奋翼，谷静易流声。间关才得性，矰缴遽相惊。安知背飞远，拂雾独晨征。"
"和许给事伤牛尚书","隋末唐初","刘斌","名臣不世出，百工之所求。况乃非常器，遭逢兴运秋。符彩照千里，铨衡综九流。经纶资百物，樽俎寄皇猷。韶濩倾复理，典礼紊还修。虽贞栋梁任，兼好艺文游。伫闻和鼎实，行当奉介丘。高衢翻税驾，阅水遽迁舟。传呼更何日，曳履闻无由。归魂藐脩路，征棹舣邗沟。林薄长风惨，江上寒云愁。夜台终不曙，遗芳徒自留。"
"和谒孔子庙","隋末唐初","刘斌","性与虽天纵，主世乃无由。何言泰山毁，空惊逝水流。及门思往烈，入室想前修。寂寞荒阶暮，摧残古木秋。遗风暧如此，聊以慰蒸求。"
"登楼望月二首 其一","隋末唐初","刘斌","圆月当新霁，高楼见最明。素波流粉壁，丹桂拂飞甍。下瞰千门静，旁观万象生。梧桐窗下影，乌鹊槛前声。啸逸刘琨兴，吟资庾亮情。游人莫登眺，迢递故乡程。"
"登楼望月二首 其二","隋末唐初","刘斌","皎洁三秋月，巍峨百丈楼。下分征客路，上有美人愁。帐卷芙蓉带，帘褰玳瑁钩。倚窗情渺渺，凭槛思悠悠。未得金波转，俄成玉箸流。不堪三五夕，夫婿在边州。"
"四言诗","隋末唐初","孙思邈","取金之精，合石之液。列为夫妇，结为魂魄。一体混沌，两精感激。河车覆载，鼎候无忒。洪炉烈火，烘燄翕赫。烟未及黔，燄不假碧。如畜扶桑，若藏霹雳。姹女气索，婴儿声寂。透出两仪，丽于四极。壁立几多，马驰一驿。宛其死矣，适然从革。恶黜善迁，情回性易。紫色内达，赤芒外射。熠若火生，乍疑血滴。号曰中环，退藏于密。雾散五内，川流百脉。骨变金植，颜驻玉泽。阳德乃敷，阴功□积。南宫度名，北斗落籍。"
"拟江令于长安归扬州九日赋","隋末唐初","许敬宗","本逐征鸿去，还随落叶来。菊花应未满，请待诗人开。"
"拟江令于长安归扬州九日赋","隋末唐初","许敬宗","游人倦蓬转，乡思逐雁来。偏想临潭菊，芳蕊对谁开。"
"冬日宴于庶子宅各赋一字得归","隋末唐初","许敬宗","倦游嗟落拓，短翮慕追飞。周醪忽同醉，牙弦乃共挥。油云澹寒色，落景霭霜霏。累日方投分，兹夕谅无归。"
"奉和七夕宴悬圃应制二首 其一","隋末唐初","许敬宗","牛闺临浅汉，鸾驷涉秋河。两怀萦别绪，一宿庆停梭。星模铅里靥，月写黛中蛾。奈许今宵度，长婴离恨多。"
"奉和七夕宴悬圃应制二首 其二","隋末唐初","许敬宗","婺闺期今夕，娥轮泛浅潢。迎秋伴暮雨，待暝合神光。荐寝低云鬓，呈态解霓裳。喜中愁漏促，别后怨天长。"
"奉和仪鸾殿早秋应制","隋末唐初","许敬宗","睿想追嘉豫，临轩御早秋。斜晖丽粉壁，清吹肃朱楼。高殿凝阴满，雕窗艳曲流。小臣参广宴，大造谅难酬。"
"奉和过慈恩寺应制","隋末唐初","许敬宗","凤阙邻金地，龙旂拂宝台。云楣将叶并，风牖送花来。月宫清晚桂，虹梁绚早梅。梵境留宸瞩，掞发丽天才。"
"奉和咏雨应诏","隋末唐初","许敬宗","舞商初赴节，湘燕远迎秋。飘丝交殿网，乱滴起池沤。激溜分龙阙，斜飞洒凤楼。崇朝方浃宇，宸盼俯凝旒。"
"送刘散员同赋得陈思王诗山树郁苍苍","隋末唐初","许敬宗","乔木托危岫，积翠绕连冈。叶疏犹漏影，花少未流芳。风来闻肃肃，雾罢见苍苍。此中饯行迈，不异上河梁。"
"安德山池宴集","隋末唐初","许敬宗","戚里欢娱地，园林瞩望新。山庭带芳杜，歌吹叶阳春。台榭疑巫峡，荷蕖似洛滨。风花萦少女，虹梁聚美人。宴游穷至乐，谈笑毕良辰。独叹高阳晚，归路不知津。"
"侍宴莎册宫应制得情字","隋末唐初","许敬宗","三星希曙景，万骑翊天行。葆羽翻风队，腾吹掩山楹。暖日晨光浅，飞烟旦彩轻。塞寒桃变色，冰断箭流声。渐奏长安道，神皋动睿情。"
"奉和九月九日应制","隋末唐初","许敬宗","爽气申时豫，临秋肆武功。太液荣光发，曾城佳气融。紫霄寒暑丽，黄山极望通。讲艺遵先{車丸}，睹德畅宸衷。鹫岭飞夏服，娥魄乱雕弓。汗浃镳流赭，尘生埒散红。饮羽惊开石，中叶遽凋丛。雁殚云路静，乌坠日轮空。九流参广宴，万宇抃恩隆。"
"奉和元日应制","隋末唐初","许敬宗","天正开初节，日观上重轮。百灵滋景祚，万玉庆惟新。待旦敷玄造，韬旒御紫宸。武帐临光宅，文卫象钩陈。广庭扬九奏，大帛丽三辰。发生同化育，播物体陶钧。霜空澄晓气，霞景瑩芳春。德辉覃率土，相贺奉还淳。"
"奉和圣制登三台言志应制","隋末唐初","许敬宗","中天表云榭，载极耸昆楼。圣作规玄造，轩阿复聿修。高门符令节，形胜总神州。企翼抟禽萃，飞甍燕雀游。缀星罗百拱，缘汉转三休。旦云生玉舄，初月上银钩。妙管含秦凤，仙姿丽斗牛。形言防处逸，粹藻发嘉猷。荷生无以谢，尽瘁竟何酬。"
"奉和守岁应制","隋末唐初","许敬宗","玉琯移玄序，金奏赏彤闱。祥鸾歌里转，春燕舞前归。寿爵传三礼，灯枝丽九微。运广薰风积，恩深湛露晞。送寒终此夜，延宴待晨晖。"
"奉和行经破薛举战地应制","隋末唐初","许敬宗","混元分大象，长策挫修鲸。于斯建宸极，由此创鸿名。一戎乾宇泰，千祀德流清。垂衣凝庶绩，端拱铸群生。复整瑶池驾，还临官渡营。周游寻曩迹，旷望动天情。帷宫面丹浦，帐殿瞩宛城。虏场栖九穗，前歌被六英。战地甘泉涌，阵处景云生。普天沾凯泽，相携欣颂平。"
"奉和过旧宅应制","隋末唐初","许敬宗","飞云临紫极，出震表青光。自尔家寰海，今兹返帝乡。情深感代国，乐甚宴谯方。白水浮佳气，黄星聚太常。岐凤鸣层阁，酆雀贺雕梁。桂山犹总翠，蘅薄尚流芳。攀鳞有遗皓，沐德抃称觞。"
"奉和初春登楼即目应诏","隋末唐初","许敬宗","旭日临重壁，天眷极中京。春晖发芳甸，佳气满层城。去鸟随看没，来云逐望生。歌里非烟飏，琴上凯风清。文波浮镂槛，摛景焕雕楹。璇玑体宽政，隆栋象端衡。创规虽有作，凝拱遂无营。沐恩空改鬓，将何谢夏成。"
"奉和春日望海","隋末唐初","许敬宗","韩夷愆奉赆，凭险乱天常。乃神弘庙略，横海剪吞航。电野清玄菟，腾笳振白狼。连云飞巨舰，编石架浮梁。周游临大壑，降望极遐荒。桃门通山抃，蓬渚降霓裳。惊涛含蜃阙，骇浪掩晨光。青丘绚春组，丹谷耀华桑。长驱七萃卒，成功百战场。俄且旋戎路，饮至肃岩廊。"
"奉和秋日即目应制","隋末唐初","许敬宗","玉露交珠网，金风度绮钱。昆明秋景淡，岐岫落霞然。辞燕归寒海，来鸿出远天。叶动罗帷飏，花映绣裳鲜。规空升闇魄，笼野散轻烟。鹊度林光起，凫没水文圆。无机络秋纬，如管奏寒蝉。乃眷情何极，宸襟豫有旃。"
"奉和宴中山应制","隋末唐初","许敬宗","飞云旋碧海，解网宥青丘。养贤停八骏，观风驻五牛。张乐临尧野，扬麾历舜州。中山献仙酤，赵媛发清讴。塞门朱雁入，郊薮紫麟游。一举氛霓静，千龄德化流。"
"游清都观寻沈道士得清字","隋末唐初","许敬宗","幽人蹈箕颍，方士访蓬瀛。岂若逢真气，齐契体无名。既诠众妙理，聊畅远游情。纵心驰贝阙，怡神想玉京。或命馀杭酒，时听洛滨笙。风衢通阆苑，星使下层城。蕙帐晨飙动，芝房夕露清。方叶栖迟趣，于此听钟声。"
"七夕赋咏成篇","隋末唐初","许敬宗","一年抱怨嗟长别，七夕含态始言归。飘飘罗袜光天步，灼灼新妆鉴月辉。情催巧笑开星靥，不惜呈露解云衣。所叹却随更漏尽，掩泣还弄昨宵机。"
"奉和入潼关","隋末唐初","许敬宗","曦驭循黄道，星陈引翠旗。济潼纡万乘，临河耀六师。前旌弥陆海，后骑发通伊。势踰回地轴，威盛转天机。是节岁穷纪，关树荡凉飔。仙露含灵掌，瑞鼎照川湄。冲襟赏临睨，高咏入京畿。"
"奉和圣制送来济应制","隋末唐初","许敬宗","万乘腾镳警岐路，百壶供帐饯离宫。御沟分水声难绝，广宴当歌曲易终。兴言共伤千里道，俯迹聊示五情同。良哉既深留帝念，沃化方有赞天聪。"
