"题目","朝代","作者","内容"
"八月十四日对酒","金","边元鼎","梧桐叶彫辘轳井，万籁不动秋宵永。金杯泻酒滟十分，酒里华星寒炯炯。须臾蟾蜍弄清影，恍然不是人间景。金波淡荡桂树横，孤在玻璃千万顷。玻璃无限月光冷，澒洞一色无纤颖。清风䬃䬃四坐来，吹入义黄醉中境。醉中起歌歌月光，月光不语空自凉。月光无情本无恨，何事对我空茫茫。我醉只知今夜月，不是人间世人月。一杯美酒蘸清光，常与边生旧交结。亦不知天地宽与窄，人事乐与哀。仰看孤月一片白，玉露泥泥从空来。直须卧此待鸡唱，身外万事徒悠哉。"
"永遇乐","金","任询","月已中秋，菊还重九，夜久凉重。满地清霜，半天白晓，孤唱闻耕垄。萧萧窗几，依然琴砚，但觉鼠窥风动。悔生平、趍前猛甚，晚退却成无勇。兴衰更换，妍媸淆混，造物大相愚弄。二衅羞人，五交贾鬻，侯伯宁无种。而今此念，消除都尽，惟有故山归梦。吾庐更、双溪清远，万峰翠拥。"
"南歌子","金","刘仲尹","榴破猩肌血，萱开凤尾黄。萧閒风簟雪肌凉。一枕浓香魂梦、到巫阳。云纻描瑶草，莲腮洗玉浆。碧梧深院小藤床。此意一江春水、正难量。"
"浣溪纱 其三","金","刘仲尹","绣馆人人倦踏青。粉垣深处簸钱声。卖花门外绿阴轻。帘幕风柔飞燕燕，池塘花暖语莺莺。有谁知道一春情。"
"浣溪纱 其四","金","刘仲尹","摩腹椎腰春事非。乐天犹恨小樊归。多生馀念向来痴。往事半随残梦转，飞词不尽短封题。竹奴应笑减腰围。"
"浣溪纱 其二","金","刘仲尹","万叠春山一寸心。章台西去柳阴阴。蓝桥特为好花寻。别后鱼封烟涨阔，梦回鸾翼海云深。情知顿著有如今。"
"浣溪纱 其一","金","刘仲尹","贴体宫罗试裌衣。冰蓝娇浅染东池。春风一把瘦腰支。戏镂宝钿呈翡翠，笑拈金剪下酴醾。最宜京兆画新眉。"
"谒金门","金","刘仲尹","帘半窣。四座绿围红簇。歌尽玉台连夜烛。欢缘仍恨促。休唱莲舟新曲。烟水画船摇绿。肠断鸳鸯三十六。紫蒲相对浴。"
"相思引","金","刘仲尹","蚕欲眠时日已曛。柔桑叶大绿团云。罗敷犹小，陌上看行人。翠实低条梅弄色，轻花吹垄麦初匀。鸣鸠声里，过尽太平村。"
"鹧鸪天 其四","金","刘仲尹","璧月池南剪木栖。六朝宫袖窄中宜。新声蹙巧蛾颦黛，纤指移?雁着丝。朱户小，画帘低。细香轻梦隔涪溪。西风只道悲秋瘦，却是西风未得知。"
